sep=,
epoch,training_loss,training_anc_loss,training_silence_loss,training_weighted_silence_loss,training_frequency_loss,training_weighted_frequency_loss,validation_loss,validation_anc_off_loss,validation_nmse_db
37,0.00968150,0.00968150,0.00000000,0.00000000,0.00000000,0.00000000,0.01828340,0.19251503,-10.22
38,0.01171607,0.01171607,0.00000000,0.00000000,0.00000000,0.00000000,0.02782221,0.19251503,-8.40
39,0.01226616,0.01226616,0.00000000,0.00000000,0.00000000,0.00000000,0.01918451,0.19251503,-10.02
40,0.00973355,0.00973355,0.00000000,0.00000000,0.00000000,0.00000000,0.02234269,0.19251503,-9.35
41,0.00928144,0.00928144,0.00000000,0.00000000,0.00000000,0.00000000,0.01883016,0.19251503,-10.10
42,0.00877539,0.00877539,0.00000000,0.00000000,0.00000000,0.00000000,0.02085433,0.19251503,-9.65
43,0.00923032,0.00923032,0.00000000,0.00000000,0.00000000,0.00000000,0.01787403,0.19251503,-10.32
44,0.00823735,0.00823735,0.00000000,0.00000000,0.00000000,0.00000000,0.01722838,0.19251503,-10.48
45,0.00827051,0.00827051,0.00000000,0.00000000,0.00000000,0.00000000,0.01965589,0.19251503,-9.91
46,0.00800261,0.00800261,0.00000000,0.00000000,0.00000000,0.00000000,0.01834336,0.19251503,-10.21
47,0.00769646,0.00769646,0.00000000,0.00000000,0.00000000,0.00000000,0.02448073,0.19251503,-8.96
48,0.00853473,0.00853473,0.00000000,0.00000000,0.00000000,0.00000000,0.02033690,0.19251503,-9.76
49,0.00936380,0.00936380,0.00000000,0.00000000,0.00000000,0.00000000,0.02628155,0.19251503,-8.65
50,0.00735506,0.00735506,0.00000000,0.00000000,0.00000000,0.00000000,0.01672846,0.19251503,-10.61
51,0.00666923,0.00666923,0.00000000,0.00000000,0.00000000,0.00000000,0.01770897,0.19251503,-10.36
52,0.00670627,0.00670627,0.00000000,0.00000000,0.00000000,0.00000000,0.01702946,0.19251503,-10.53
53,0.00673919,0.00673919,0.00000000,0.00000000,0.00000000,0.00000000,0.01856416,0.19251503,-10.16
54,0.00653485,0.00653485,0.00000000,0.00000000,0.00000000,0.00000000,0.01725188,0.19251503,-10.48
55,0.00647221,0.00647221,0.00000000,0.00000000,0.00000000,0.00000000,0.01586704,0.19251503,-10.84
56,0.00619809,0.00619809,0.00000000,0.00000000,0.00000000,0.00000000,0.01717524,0.19251503,-10.50
57,0.00690051,0.00690051,0.00000000,0.00000000,0.00000000,0.00000000,0.01885191,0.19251503,-10.09
58,0.00672811,0.00672811,0.00000000,0.00000000,0.00000000,0.00000000,0.01680453,0.19251503,-10.59
59,0.00662315,0.00662315,0.00000000,0.00000000,0.00000000,0.00000000,0.02454991,0.19251503,-8.94
60,0.00601479,0.00601479,0.00000000,0.00000000,0.00000000,0.00000000,0.03113531,0.19251503,-7.91
61,0.00666754,0.00666754,0.00000000,0.00000000,0.00000000,0.00000000,0.01895290,0.19251503,-10.07
62,0.00603614,0.00603614,0.00000000,0.00000000,0.00000000,0.00000000,0.01810477,0.19251503,-10.27
63,0.00592496,0.00592496,0.00000000,0.00000000,0.00000000,0.00000000,0.01652891,0.19251503,-10.66
64,0.00557625,0.00557625,0.00000000,0.00000000,0.00000000,0.00000000,0.01891324,0.19251503,-10.08
65,0.00518770,0.00518770,0.00000000,0.00000000,0.00000000,0.00000000,0.01621514,0.19251503,-10.75
66,0.00502247,0.00502247,0.00000000,0.00000000,0.00000000,0.00000000,0.01639761,0.19251503,-10.70
67,0.00515665,0.00515665,0.00000000,0.00000000,0.00000000,0.00000000,0.01606635,0.19251503,-10.79
68,0.00477333,0.00477333,0.00000000,0.00000000,0.00000000,0.00000000,0.01873734,0.19251503,-10.12
69,0.00517187,0.00517187,0.00000000,0.00000000,0.00000000,0.00000000,0.01824772,0.19251503,-10.23
70,0.00478903,0.00478903,0.00000000,0.00000000,0.00000000,0.00000000,0.01614236,0.19251503,-10.76
