sep=,
timestamp,stage,status,execution_time_sec,parameters,message
2026-08-08 21:15:54,training,success,4620.33,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""30"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 29. Best validation loss: 0.03738436. Best validation NMSE: -7.18 dB.
2026-08-09 02:44:34,training,success,14489.04,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""100"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 95. Best validation loss: 0.02072664. Best validation NMSE: -9.70 dB.
2026-08-09 17:00:52,training,success,4305.99,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""30"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 30. Best validation loss: 0.04006799. Best validation NMSE: -6.98 dB.
2026-08-09 23:08:55,training,success,3989.03,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""30"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 30. Best validation loss: 0.03657122. Best validation NMSE: -7.22 dB.
2026-08-11 17:37:08,training,success,4339.98,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""30"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 30. Best validation loss: 0.03803566. Best validation NMSE: -7.16 dB.
2026-08-11 18:13:57,training,success,1011.05,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""5"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 5. Best validation loss: 0.11891435. Best validation NMSE: -2.15 dB.
2026-08-11 18:37:11,training,success,670.74,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""5"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 5. Best validation loss: 0.11891435. Best validation NMSE: -2.15 dB.
2026-08-11 19:02:38,training,success,1262.32,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""5"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 5. Best validation loss: 0.11279885. Best validation NMSE: -2.34 dB.
2026-08-11 20:20:52,training,success,4454.30,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""30"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 30. Best validation loss: 0.03663401. Best validation NMSE: -7.24 dB.
2026-08-11 22:34:24,training,success,4548.57,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""30"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 30. Best validation loss: 0.03309651. Best validation NMSE: -7.65 dB.
2026-08-12 18:02:47,training,success,128.24,"{""architecture"": ""deep_anc_original"", ""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""5"", ""conv_channels"": ""16,32,64,128,256"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""1024"", ""delay_m"": ""0"", ""epochs"": ""1"", ""batch_size"": ""1"", ""learning_rate"": ""0.001"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 1. Best validation loss: 0.07634580. Best validation NMSE: -4.02 dB.
2026-08-12 19:32:10,training,success,5116.00,"{""architecture"": ""deep_anc_original"", ""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""5"", ""conv_channels"": ""16,32,64,128,256"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""1024"", ""delay_m"": ""0"", ""epochs"": ""30"", ""batch_size"": ""1"", ""learning_rate"": ""0.001"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 29. Best validation loss: 0.02042093. Best validation NMSE: -9.74 dB.
2026-08-12 22:07:03,training,success,8402.49,"{""architecture"": ""deep_anc_original"", ""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""5"", ""conv_channels"": ""16,32,64,128,256"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""1024"", ""delay_m"": ""0"", ""epochs"": ""50"", ""batch_size"": ""1"", ""learning_rate"": ""0.001"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 50. Best validation loss: 0.01672846. Best validation NMSE: -10.61 dB.
2026-08-13 01:12:13,training,success,9442.47,"{""architecture"": ""deep_anc_original"", ""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""5"", ""conv_channels"": ""16,32,64,128,256"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""1024"", ""delay_m"": ""0"", ""epochs"": ""70"", ""batch_size"": ""1"", ""learning_rate"": ""0.001"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 55. Best validation loss: 0.01586704. Best validation NMSE: -10.84 dB.
2026-08-14 17:50:01,training,success,12723.90,"{""architecture"": ""deep_anc_original"", ""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""5"", ""conv_channels"": ""16,32,64,128,256"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""1024"", ""delay_m"": ""0"", ""epochs"": ""70"", ""batch_size"": ""1"", ""learning_rate"": ""0.001"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 57. Best validation loss: 0.01616979. Best validation NMSE: -10.77 dB.
